no,name,altname,RA,Dec,Orb_known(hr),Orb_possible(hr),Spin_known(s),Spin_possible(s),conf
95.0,,1RXS J180431.1-273932,18 04 30.46,-27 39 33.3,4.99,,493.97,,****
96.0,,"IGR J18048-1455, 2XMMi J180438.7-145647",18 04 38.98,-14 56 47.2,,,,~1500,***
97.0,DQ Her,Nova Herculis 1934,18 07 30.25,+45 51 32.8,4.646902,,71.06558,,*****
,V426 Oph,,18 07 51.69,+05 51 47.2,6.84754,,,,*
94.0,,"IGR J18088-2741, CXOU J180839.8-274131",18 08 39.77,-27 41 31.8,,6.85 ?,,854 ?,**
99.0,,IGR J18112-2641,18 10 58.38,-26 41 15.1,,,,,**
100.0,V533 Her,Nova Herculis 1963,18 14 20.49,+41 51 22.1,3.528,,,63.633 ?,***
101.0,,IGR J18151-1052,18 15 03.85,-10 51 35.0,,,390.5,,****
102.0,,IGR J18165-3912,18 16 35.95,-39 12 46.4,,,,,**
103.0,,"IGR J18173-2509, 1RXS J181723.3-250831",18 17 22.17,-25 08 42.5,1.53,,1663.4,,****
,,AX J1820.5-1434,18 20 30.09,-14 34 23.5,,~1300,152.26,,*
104.0,,CXOU J182531.4-144036,18 25 31.47,-14 40 36.3,,1.4 ?,,781 ?,**
105.0,,IGR J18293-1213,18 29 20.15,-12 12 50.4,6.92,,,,**
106.0,,"IGR J18308-1232, 1RXS J183045.2-123225",18 30 49.94,-12 32 19.1,,5.374 ?,1820.0,,****
107.0,,AX J1832.3-0840,18 32 19.30,-08 40 30.5,,,1549.1,,****
108.0,,Swift J183920.1-045350,18 39 19.98,-04 53 53.3,,5.6:,449.7,,****
109.0,V4745 Sgr,Nova Sagittarii 2003 No. 1,18 40 02.57,-33 26 55.4,4.9877,,,1490?,**
110.0,,PBC J1841.1+0138,18 41 04.16,+01 37 55.8,5.325811,,311.805,,****
111.0,,IGR J18434-0508,18 43 11.43,-05 05 45.6,,,152.49,,***
,V603 Aql,Nova Aquilae 1918,18 48 54.65,+00 35 02.7,3.3125,,,,*
112.0,,"ZTF J185139.81+171430.3, ZTF18abnbzvx",18 51 39.81,+17 14 30.2,,,742.1717,,***
113.0,,"AX J1853.3-0128, XMMU J185330.7-012815",18 53 30.61,-01 28 16.1,1.45,,476.0,,*****
114.0,V1223 Sgr,4U1851-31,18 55 02.31,-31 09 50.0,3.365856,,745.6,,*****
